scheduler,task_id,priority,duration,deps,is_critical,ready_sec,start_sec,end_sec,exec_sec,wait_sec
sequential,c01,1,1.5,,1,0.0,0.0,1.5400168895721436,1.5400168895721436,0.0
sequential,c02,1,1.7,c01,1,1.5400168895721436,1.540107011795044,3.297015905380249,1.756908893585205,9.012222290039062e-05
sequential,c03,1,1.4,c02,1,3.297015905380249,3.2971179485321045,4.741538047790527,1.4444200992584229,0.00010204315185546875
sequential,c04,1,1.8,c03,1,4.741538047790527,4.741654872894287,6.583680868148804,1.8420259952545166,0.00011682510375976562
sequential,c05,1,1.6,c04,1,6.583680868148804,6.583755016326904,8.249780893325806,1.6660258769989014,7.414817810058594e-05
sequential,c06,1,1.7,c05,1,8.249780893325806,8.249908924102783,9.968555927276611,1.7186470031738281,0.00012803077697753906
sequential,c07,1,1.5,c06,1,9.968555927276611,9.96866512298584,11.523979902267456,1.5553147792816162,0.00010919570922851562
sequential,c08,1,1.8,c07,1,11.523979902267456,11.524105787277222,13.37751293182373,1.8534071445465088,0.000125885009765625
sequential,s01,10,1.8,,0,0.0,13.377624988555908,15.208282709121704,1.830657720565796,13.377624988555908
sequential,s02,10,2.0,,0,0.0,15.208417892456055,17.271283864974976,2.062865972518921,15.208417892456055
sequential,s03,9,1.6,,0,0.0,17.27138876914978,18.929812908172607,1.6584241390228271,17.27138876914978
sequential,s04,9,2.2,,0,0.0,18.930201768875122,21.16695284843445,2.236751079559326,18.930201768875122
sequential,s05,10,1.7,,0,0.0,21.167022705078125,22.935340881347656,1.7683181762695312,21.167022705078125
sequential,s06,9,2.1,,0,0.0,22.935477018356323,25.104169845581055,2.1686928272247314,22.935477018356323
sequential,s07,10,1.5,,0,0.0,25.104267835617065,26.661969900131226,1.5577020645141602,25.104267835617065
sequential,s08,9,2.0,,0,0.0,26.66235375404358,28.73519468307495,2.072840929031372,26.66235375404358
sequential,s09,10,1.8,,0,0.0,28.73530888557434,30.566707849502563,1.8313989639282227,28.73530888557434
sequential,s10,9,2.3,,0,0.0,30.566848039627075,32.89919471740723,2.3323466777801514,30.566848039627075
sequential,f01,5,1.2,c08 s09 s10,1,32.89919471740723,32.89933109283447,34.151625871658325,1.2522947788238525,0.00013637542724609375
sequential,f02,5,0.8,f01,1,34.151625871658325,34.1517539024353,34.991291761398315,0.8395378589630127,0.00012803077697753906
parallel,c01,1,1.5,,1,0.0,0.0,1.5567069053649902,1.5567069053649902,0.0
parallel,s01,10,1.8,,0,0.0,0.0016067028045654297,1.8320808410644531,1.8304741382598877,0.0016067028045654297
parallel,s02,10,2.0,,0,0.0,0.0017969608306884766,2.0520050525665283,2.05020809173584,0.0017969608306884766
parallel,c02,1,1.7,c01,1,1.5567069053649902,1.5569367408752441,3.31221079826355,1.7552740573883057,0.00022983551025390625
parallel,s03,9,1.6,,0,0.0,1.832334041595459,3.4970407485961914,1.6647067070007324,1.832334041595459
parallel,s04,9,2.2,,0,0.0,2.052168846130371,4.266672849655151,2.2145040035247803,2.052168846130371
parallel,c03,1,1.4,c02,1,3.31221079826355,3.3124547004699707,4.757190704345703,1.4447360038757324,0.00024390220642089844
parallel,s05,10,1.7,,0,0.0,3.497230052947998,5.216681957244873,1.719451904296875,3.497230052947998
parallel,s06,9,2.1,,0,0.0,4.26683783531189,6.426589727401733,2.1597518920898438,4.26683783531189
